Time;L.ShoulderF;L.ShoulderS;L.ElbowR;L.Elbow;L.WristR;L.WristS;L.WristF;L.Finger.Index;L.Finger.Little;L.Finger.Middle;L.Finger.Ring;L.Finger.ThumbS;L.Finger.Thumb;R.ShoulderF;R.ShoulderS;R.ElbowR;R.Elbow;R.WristR;R.WristS;R.WristF;R.Finger.Index;R.Finger.Little;R.Finger.Middle;R.Finger.Ring;R.Finger.ThumbS;R.Finger.Thumb;TorsoR;TorsoF;TorsoS
100;8,568;17,512;-0,846;3,46;-3,248;13,066;191,76;-44,073;-89,557;-52,041;-65,321;14,925;43,243;8,001;-9,24;18,236;-2,32;2,726;-10,904;2,726;28,552;15,604;46,314;37,516;-117,375;-307,183;175,6259;-85,72283;102,4521
200;8,568;17,512;-1,034;3,46;-3,248;12,972;191,76;-44,073;-89,557;-52,041;-65,321;14,85;43,243;8,253;-9,152;18,142;-2,28;4,06;-10,81;3,478;28,635;15,604;46,314;38,014;-117,375;-307,183;168,0227;-85,40102;127,377
300;8,568;17,512;-1,316;3,46;-3,248;13,066;191,76;-44,073;-89,557;-52,041;-65,321;14,925;43,243;8,379;-8,976;16,45;-1,3;4,814;-11,374;3,666;28,718;15,604;46,314;39,01;-117,375;-307,183;162,7783;-84,80605;153,1645
400;8,568;17,512;-1,41;3,46;-3,248;13,16;191,76;-44,073;-89,557;-52,041;-65,321;14,85;43,243;8,379;-8,712;14,758;0,44;6,148;-12,596;3,478;28,718;15,604;49,468;40,836;-117,375;-307,183;160,0883;-84,16708;176,8901
500;8,568;17,512;-1,598;3,46;-3,248;13,348;191,76;-44,073;-89,557;-52,124;-65,321;14,925;43,243;8,253;-8,536;15,04;1,28;8,757999;-12,784;3,948;29,631;15,604;51,958;41,666;-117,375;-307,183;160,567;-83,43532;-162,331
600;8,568;17,512;-1,504;3,46;-3,248;13,442;191,76;-44,073;-89,557;-52,041;-65,321;14,85;43,243;8,253;-8,536;15,228;1,28;9,512;-12,502;4,136;30,627;15,604;52,954;42,745;-117,375;-307,183;163,7193;-82,83737;-148,189
700;8,568;17,336;-1,692;3,46;-3,248;13,442;191,76;-44,073;-89,557;-52,041;-65,321;14,85;43,243;7,182;-9,416;15,51;1,28;9,512;-12,22;4,136;30,71;15,604;53,95;42,828;-117,375;-307,183;168,5382;-82,41033;-133,077
800;8,568;17,424;-2,068;3,46;-3,248;13,536;191,76;-44,073;-89,557;-52,041;-65,321;14,925;43,243;4,662;-10,736;14,946;1,28;9,512;-10,998;4,418;30,793;15,604;54,282;42,828;-117,375;-307,183;174,2734;-82,5029;-121,2591
900;7,56;17,424;-5,64;3,84;-3,306;14,664;191,76;-44,073;-89,557;-52,041;-65,321;15,45;43,243;-0,567;-12,144;16,638;1,28;9,454;-11,75;4,606;30,71;15,687;54,282;43,077;-117,375;-307,183;176,4426;-82,82773;-104,5428
1000;5,985;17,072;-8,742;5,22;-3,48;14,852;191,76;-44,073;-89,557;-52,124;-65,321;15,825;43,243;-7,056;-12,76;19,834;0,52;7,308;-11,468;2,444;30,71;15,687;54,697;43,243;-117,375;-307,183;179,5134;-83,24051;-87,86058
1100;4,914;17,16;-9,118;5,24;-3,48;14,382;191,76;-44,073;-89,557;-52,041;-65,321;15,825;43,243;-14,364;-12,232;24,91;-3,28;2,146;-12,126;1,034;30,71;15,687;56,855;45,567;-117,375;-307,183;-178,1719;-84,24103;-72,28616
1200;3,78;17,336;-9,681999;5,24;-3,48;14,1;191,76;-44,073;-89,557;-52,041;-65,321;15,825;43,243;-22,617;-12,408;25,568;-6,78;-3,596;-11,468;-0,846;30,71;15,936;57,519;46,978;-117,375;-307,183;178,102;-85,38046;-48,66391
1300;2,142;18,04;-11,374;5,24;-3,48;13,724;191,76;-44,073;-89,557;-52,041;-65,321;15,9;43,243;-33,201;-12,408;24,534;-8;-4,234;-11,186;0,282;30,71;16,019;57,768;47,393;-117,375;-307,183;164,1482;-85,90268;-15,91694
1400;1,071;18,656;-12,784;5,24;-3,48;13,912;191,76;-44,073;-89,557;-52,041;-65,321;15,975;43,243;-42,651;-12,584;20,68;-7,82;-3,828;-10,998;2,256;30,71;16,019;57,851;47,393;-117,375;-307,183;147,5747;-85,68213;18,27069
1500;-0,189;19,008;-15,416;5,28;-3,48;14,194;191,76;-44,073;-89,557;-52,041;-65,321;16,2;43,243;-51,408;-12,408;15,322;-6,68;-0,232;-12,784;1,786;30,71;16,019;57,851;47,393;-117,375;-307,183;134,8422;-85,0089;50,81874
1600;-1,323;19,096;-16,732;5,78;-3,886;14,852;191,76;-44,073;-89,557;-52,041;-65,321;16,65;43,16;-58,779;-12,584;17,014;-6,6;0,29;-12,596;1,692;30,793;16,019;57,851;43,824;-117,375;-307,183;128,8786;-84,20199;78,30015
1700;-1,638;19,272;-16,826;5,78;-3,886;14,006;191,76;-44,073;-89,557;-52,124;-65,321;16,875;43,243;-63,945;-11,088;17,86;-6,78;0,116;-11,75;0,47;30,793;16,019;57,851;41,417;-117,375;-307,183;123,5257;-84,479;103,0866
